"HolderAddress","TotalQuantity"
"0xb3623d62ff30fadb5b2e127c07cab0d1b0808276","17"
"0x96e9912f00c3e762b76c4088687248a320a99f06","17"
"0x95159b25e4361ad09d80feaddcaf653361cec346","17"
"0xdac2c5d760ff866bc796ddb88dffec3d9a90b7e5","17"
"0xdda42f12b8b2ccc6717c053a2b772bad24b08cbd","16"
"0x5e8bb171efb4ef1da79479c794d5b8ec550233f1","16"
"0x44b9e78833ddb7e22bfd28e1e3648b8cccddab20","16"
"0x8778ca41cf0b5cd2f9967ae06b691daff11db246","16"
"0x4406e6b2d125a401af00a5067de26e920c6d4524","16"
"0x064cb0bb4c8abe11935134aee670c032d6833556","16"
"0x255b767d27622bff4587611f89e2002b95eed854","16"
"0xa32225905a612d9a49fcc4bda69d0b9cd8c9e7c5","16"
"0x20c6f73a8f39cba0597b8bba1073cd515e4d7edf","16"
"0xefed4e3c00043395f100bbb95fc65ceeecf95aac","16"
"0x77766ff51586ff7fecc110949dbd87307e4cd785","15"
"0xa648e0e43665d23b063d8e25b9dca27fc11ba4fb","15"
"0xb3bba34d42162e4ac4cb9096b7870fb5614cf161","15"
"0xe659dc504f6ed6c5c1781795eb82a81a4ff388b7","15"
"0xed813f0b9749d998322251c0cedbb31ee51f3b76","15"
"0xa63b833c4bb36bf5e9d1c981fb17a4ff37dd68f3","15"
"0xd22769fd3ee303ea8facaf9294f6ca526ac8d643","15"
"0x2864be4b616bcde06a635776dfb4ccca3d2a0ed0","15"
"0x4d6ff9db3dce4326b06193a008bb282e856d9180","14"
"0x6818afab52a516af73bba2edc8796fbb47ea0814","14"
"0x4f28e484b5da61b05d1be30dea0dbbc594155a9c","14"
"0x4b1f1cdeaf0931dfa5468f2c08860d24a94e3d3a","14"
"0x71ac0a4b655d6d0d6d4f59345561a8ca0775ba2c","14"
"0x46a40589c227c3aa133d99d64d7f5f3fecf22de8","14"
"0x64737b6c29e198f4a9a293bb5320746c471f0f2b","14"
"0xdde05da1122494c9af1694b377adbb43b47582c9","14"
"0x54cbf56ffa37c2d1a06568ad5117eb6c22d0870b","13"
"0x3312977d1ec58f971f7fd34b63149375b9e573e1","13"
"0x072e49b842f2835b4b7b2152fb116882578f8e33","13"
"0x111e318936660aaf49d485c74a77ffccb997d030","13"
"0x5c4111aefca017aeec7ee19e245ba03764a75a36","13"
"0xff251d792d8cfb68d00ed11ca1e2f5ff16d54e3c","13"
"0x811f387892c525cf54ed6ce3dd416a7a6c061e46","12"
"0x56de71ce45e3cbe7c100fe6c381cc56de2f24f97","12"
"0xaf6193fd81b4c8435e6e81c45ee7cdc511fe5f3a","12"
"0x96e1991ebd4b08975cbdca89d09fe7b677af407b","12"
"0xc49848dead322d702b71ad7631a9183117a95282","12"
"0x00d38b07259d78fee4ba2acefba18f5e3bd46eba","12"
"0x599f93f297bb772e57e9e4921b1a589a4a762146","12"
